time,N_1_x,N_1_y,N_1_z,N_2_x,N_2_y,N_2_z,C_3_x,C_3_y,C_3_z,H_4_x,H_4_y,H_4_z,H_5_x,H_5_y,H_5_z,H_6_x,H_6_y,H_6_z,C_7_x,C_7_y,C_7_z,H_8_x,H_8_y,H_8_z,H_9_x,H_9_y,H_9_z,H_10_x,H_10_y,H_10_z
399.0,-0.3517807837,0.0935519904,-0.4833233557,0.3637985025,0.0960507982,0.4370713269,1.7942183926,0.1331290599,-0.0823861001,1.7841400762,1.177119844,0.070085278,2.6223784853,-0.4621419254,0.3634669082,1.9792890525,-0.4724135788,-0.9396722818,-1.8071668554,-0.3497670706,0.1725375736,-2.5426478594,0.5231727945,0.1600706229,-1.855251162,-1.1685068491,-0.6081353408,-1.8207196386,-0.6013391609,1.1721174499
400.0,-0.3667437259,0.0961524834,-0.4880684446,0.3653132279,0.0871585464,0.4246175921,1.8218228373,0.1360611727,-0.0843028294,1.8152701752,1.1929309322,0.1421939925,2.7043026415,-0.3995847833,0.4772129035,2.0824410427,-0.5072373058,-0.9948171391,-1.8291006377,-0.3437853417,0.1755683559,-2.5842815859,0.5201099909,0.1830612568,-1.8951008789,-1.2289028207,-0.5855819631,-1.8360228487,-0.5992139089,1.2213651057
401.0,-0.3868467389,0.0980081959,-0.493698905,0.3716020828,0.0766913625,0.4147072841,1.8503188738,0.1373108192,-0.0849592339,1.8669993944,1.2136490379,0.1963713865,2.7603706499,-0.3235515891,0.5986738301,2.1696869102,-0.5160081102,-1.0495947604,-1.8503885436,-0.3367424375,0.1756216209,-2.6158215957,0.5007398837,0.1933424035,-1.9485416084,-1.2716785071,-0.5427104057,-1.8398874677,-0.6032091265,1.2702619365
402.0,-0.4112654954,0.0991114112,-0.4996056081,0.3820942948,0.0647662727,0.4065021633,1.8802161315,0.1373676686,-0.0840457399,1.9346798895,1.230881423,0.2285865885,2.7828839982,-0.2380897526,0.7141665321,2.2396968962,-0.4943696979,-1.0891973796,-1.8708089798,-0.3296504064,0.1742492425,-2.638092713,0.4679145282,0.190568324,-2.012276155,-1.2919916401,-0.4802977796,-1.8333392743,-0.6082341885,1.3038564647
403.0,-0.4388794253,0.0994460684,-0.5049692389,0.3958797994,0.0515885837,0.3989749071,1.9115733416,0.1370699436,-0.0811436383,2.0125647035,1.2388376505,0.2359367361,2.7700416953,-0.1499409035,0.8131814854,2.2923722261,-0.4429515299,-1.1051017328,-1.88985346,-0.3233916928,0.1726714216,-2.654850328,0.4281627817,0.1754401451,-2.0827354827,-1.2893151572,-0.4025866096,-1.8182237913,-0.6102863903,1.3139551182
404.0,-0.468474119,0.0989846625,-0.5090232915,0.4118932292,0.0374155862,0.3911650061,1.9441216107,0.1372756161,-0.0759215453,2.0945142182,1.235400997,0.2171878571,2.7242313641,-0.0667840804,0.8886593905,2.3287566439,-0.3658187105,-1.0934326891,-1.9067536016,-0.3185955487,0.171818449,-2.6725184501,0.3910494695,0.1495080849,-2.156537014,-1.2682762348,-0.316927026,-1.7968095137,-0.6063585699,1.2984489581
405.0,-0.4989002283,0.0976928538,-0.5112269318,0.4290647064,0.0225235535,0.3823240192,1.9772785396,0.1387877239,-0.0680912009,2.1747083245,1.2222638595,0.1730857159,2.650961349,0.0037916858,0.936969743,2.3515289696,-0.2704600435,-1.055466633,-1.9206797575,-0.3153206265,0.1723753449,-2.6975487897,0.3662437695,0.1148050478,-2.231338468,-1.2394716604,-0.233157339,-1.7714021963,-0.5943624592,1.2606004002
406.0,-0.5291549698,0.0955425689,-0.5113260609,0.4464023257,0.0071809655,0.3719442099,2.0100342344,0.1423813135,-0.0571989102,2.2483330908,1.2048435675,0.1066842886,2.5585719226,0.0550942383,0.9584469594,2.3662487209,-0.16866131,-1.0006075719,-1.9311796354,-0.3128087559,0.1745624832,-2.7313416056,0.3586963939,0.0737612466,-2.3064973538,-1.2172879552,-0.1612793336,-1.7438418028,-0.57339768,1.2094947379
407.0,-0.5583950065,0.0925341659,-0.5093323697,0.4630131696,-0.0083715782,0.3597182902,2.0408072524,0.1487969213,-0.0424722796,2.3121152202,1.1914302802,0.0235099016,2.4584205289,0.0822399621,0.959100105,2.3825949648,-0.0763348892,-0.9498282872,-1.9386023729,-0.3099339312,0.1776937248,-2.767767411,0.3665169441,0.0296685203,-2.3815552796,-1.212107835,-0.1074162116,-1.7148034553,-0.5442578341,1.1608057128
408.0,-0.5859114524,0.0887179861,-0.5054630626,0.4780925544,-0.0239377918,0.3454895935,2.0676940822,0.1585525667,-0.0235504742,2.3642419494,1.1902332525,-0.0688790817,2.36450914,0.0830296277,0.9533446856,2.411877959,-0.0089775279,-0.9293002698,-1.9441117267,-0.3060956471,0.1802146088,-2.7968714645,0.3839361205,-0.0133346606,-2.4528237397,-1.2231254199,-0.0717403476,-1.6835773794,-0.5092375866,1.1341718432
409.0,-0.6110984795,0.0841956442,-0.5000733709,0.490921291,-0.0393838403,0.3292246158,2.0895377935,0.1717982538,-0.002415919,2.4034162815,1.2045698135,-0.1617456711,2.290347677,0.058034741,0.9632650713,2.4579545571,0.0251256511,-0.946096832,-1.949083191,-0.3014851718,0.1808532652,-2.8100911092,0.4051926629,-0.0512771121,-2.5131686321,-1.2412794611,-0.0506652719,-1.6502018889,-0.4700207312,1.1424369894
410.0,-0.6334323006,0.0790959321,-0.4935907301,0.5009024426,-0.0546476579,0.3109976006,2.1066841963,0.188577264,0.0172084844,2.4280671726,1.2305514749,-0.2457259144,2.2429971944,0.0101550268,1.0038620416,2.5139130052,0.0247839814,-0.9803267542,-1.9542919549,-0.2967194988,0.1798513521,-2.8027003412,0.4262680732,-0.0813577631,-2.5553717389,-1.2568125356,-0.03989131,-1.6190705501,-0.4259875154,1.1806023938
411.0,-0.6524587434,0.0735480642,-0.4864499814,0.5076175301,-0.0697227295,0.290982614,2.1202761917,0.208683047,0.0333255736,2.4368292032,1.2603389751,-0.3119077911,2.2218626583,-0.0538316502,1.0649250247,2.5699405164,-0.0073691802,-1.007437486,-1.9597343672,-0.2923513464,0.1786088367,-2.7740760015,0.4451637927,-0.1022772466,-2.5746387536,-1.263036736,-0.0358128689,-1.597975327,-0.3762446415,1.2312431047
412.0,-0.6677797907,0.0676747105,-0.4790425382,0.5108454762,-0.084635582,0.2694532434,2.1312809174,0.2313165879,0.0459641282,2.4294754667,1.2865466192,-0.3537123252,2.2235367593,-0.1229000493,1.1219896805,2.6185001812,-0.0659116191,-1.011184874,-1.964956873,-0.2886501945,0.1785814721,-2.7274176046,0.4619900638,-0.1142058799,-2.569270218,-1.2568242066,-0.0357811099,-1.5936194441,-0.3217054278,1.2774828449
413.0,-0.679043554,0.0616001223,-0.4716912099,0.5105269731,-0.0994360526,0.2467645379,2.140257034,0.2552556681,0.0555990505,2.4073213695,1.3042728163,-0.367951875,2.2441151874,-0.1854445774,1.1559065951,2.6547170067,-0.1432009466,-0.9833679584,-1.9692638426,-0.285651156,0.1808127475,-2.6693691147,0.4791578271,-0.11877011,-2.540738999,-1.2385190979,-0.0380878105,-1.6094220137,-0.264846162,1.3084734759
414.0,-0.6859502704,0.0554596303,-0.4646451082,0.506720531,-0.1141900774,0.2233158867,2.1474665568,0.2790683009,0.0625961108,2.3731948668,1.3118392434,-0.3548722346,2.2793082738,-0.2319421159,1.1574473449,2.6756523693,-0.2301109211,-0.9214335062,-1.9717806431,-0.283163268,0.1859602056,-2.6088840417,0.5009626967,-0.1189175829,-2.4939063455,-1.2123981561,-0.0420797244,-1.6456797882,-0.2088442837,1.3191579625
